D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
165.0,48.3,19945.6651381986,1436.79986029692,0.0720356954928145,1485.36501542086,518.362787842316,521.989389245871,834062.318902362,11578458.6127243,1661.6
190.0,41.0,27206.7063446457,1146.16735400215,0.0421281186881966,1409.35226969663,596.902604182061,293.877309566151,760482.039380425,18051649.6596724,1678.2
190.0,48.3,27452.840075958,900.033622689876,0.0327847180910833,1601.47246757414,596.902604182061,275.500291905371,598072.342277423,18242412.2304741,1694.8
165.0,80.2,19945.6651381986,1436.79986029692,0.0720356954928145,2121.6317333294,518.362787842316,521.989389245871,834062.318902362,11578458.6127243,2295.0
190.0,74.7,27206.7063446457,1146.16735400215,0.0421281186881966,2326.21827351119,596.902604182061,293.877309566151,760482.039380425,18051649.6596724,2592.0
190.0,80.2,27452.840075958,900.033622689876,0.0327847180910833,2477.2180659972,596.902604182061,275.500291905371,597172.308654733,18214959.3903981,2602.0
190.0,80.2,27682.3852555815,670.488443066359,0.0242207612124454,2344.63700137506,596.902604182061,124.509703877423,444198.593531463,18339580.2318228,2295.0
190.0,74.7,27841.8609809779,511.012717669979,0.0183541149788483,2187.45739489211,596.902604182061,107.670379613065,339056.938174031,18473074.7608788,2451.0
165.0,108.0,19945.6651381986,1436.79986029692,0.0720356954928145,2676.12122417132,518.362787842316,521.989389245871,829751.919321471,11518621.6173097,2673.0
190.0,108.0,27206.7063446457,1146.16735400215,0.0421281186881966,3232.20159478789,596.902604182061,293.877309566151,756470.453641417,17956426.1874662,3360.0
190.0,108.0,27452.840075958,900.033622689876,0.0327847180910833,3240.40702010884,596.902604182061,275.500291905371,595372.241409353,18160053.7102462,3260.0
190.0,108.0,27682.3852555815,670.488443066359,0.0242207612124454,3114.20731148023,596.902604182061,124.509703877423,442522.372423797,18270374.2686838,3058.0
190.0,108.0,27841.8609809779,511.012717669979,0.0183541149788483,3114.59136555868,596.902604182061,107.670379613065,338290.419097526,18431311.9694074,3070.0
115.9,60.75,8841.39205897939,1708.71224428749,0.193262806681229,1065.96100718998,364.110588551057,528.846439606978,608301.558966346,3147535.57299666,1174.0
130.6,60.75,12468.9812420979,927.052576147809,0.0743487024439403,1058.13376090218,410.292000558827,300.643150444735,367112.820154532,4937716.57187076,1250.0
133.1,60.75,12095.7678888331,1818.03966863241,0.150303782723117,1324.4081637841,418.145982192801,589.590264537492,721761.748447068,4802019.85186672,1535.0
165.7,60.75,18991.1239404912,2573.15287884925,0.135492395653477,2114.26874905926,520.561902699829,960.557969674427,1278856.98078808,9438588.5984241,2309.0
101.3,21.9,7589.21605911157,470.296420242391,0.0619690382483914,290.785353416753,318.243335808646,124.581521722209,145791.890275141,2352656.97832459,370.0
102.3,21.9,7738.17278982594,481.246755595746,0.0621912651302493,296.948249654501,321.384928462236,127.482265557313,149186.494234681,2398833.56484604,485.0
104.2,21.9,7747.53065186319,780.039862967485,0.100682384880903,376.30348097589,327.353954504056,206.632559700087,241812.35751992,2401734.50207759,450.0
105.0,18.4,7992.81992307017,666.1948283867,0.0833491602211405,323.542896624128,329.867228626928,176.475010039637,206520.396799877,2477774.17615175,539.0
105.1,18.4,7760.01659770561,915.499369164236,0.117976470492978,385.300088289389,330.181387892287,242.515782891606,283804.804440913,2405605.14528874,550.0
107.9,18.4,7738.17278982594,1405.75464169415,0.181664933037218,514.766783917577,338.977847322339,372.38440458478,435783.938925186,2398833.56484604,686.0
107.9,18.4,7738.17278982594,1405.75464169415,0.181664933037218,514.766783917577,338.977847322339,372.38440458478,596039.968078319,3280985.2628862,727.0
107.9,18.4,7738.17278982594,1405.75464169415,0.181664933037218,514.766783917577,338.977847322339,372.38440458478,596039.968078319,3280985.2628862,734.0
107.9,18.4,7738.17278982594,1405.75464169415,0.181664933037218,514.766783917577,338.977847322339,372.38440458478,596039.968078319,3280985.2628862,803.0
